#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-08-15T20:52:09 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53ee72a26361	
#INFO	-out.max=unlimited	
#INFO	queryParameters=28	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=V/130/gcs3
#-nav=cat:V/130&tab:{V/130/gcs3}&key:source=V/130/gcs3&HTTPPRM:&&-ref=VIZ53ee72a26361&-out.max=unlimited&-out.form=ascii table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Name&-out=m_Name&-out=RAJ2000&-out=DEJ2000&-out=logTe&-out=[Fe/H]&-out=Dist&-out=VMag&-out=age&-out=UVel&-out=VVel&-out=WVel&-out=Vmag&-out=b-y&-out=m1&-out=c1&-out=Simbad&-ignore=Simbad=*&Simbad=Simbad&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/130/gcs3
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/130/gcs3
#-order=I
#-out=Name
#-out=m_Name
#-out=RAJ2000
#-out=DEJ2000
#-out=logTe
#-out=[Fe/H]
#-out=Dist
#-out=VMag
#-out=age
#-out=UVel
#-out=VVel
#-out=WVel
#-out=Vmag
#-out=b-y
#-out=m1
#-out=c1
#-out=Simbad
#

#RESOURCE=yCat_5130
#Name: V/130
#Title: Geneva-Copenhagen Survey of Solar neighbourhood III (Holmberg+, 2009)
#Table	V_130_gcs3:
#Name: V/130/gcs3
#Title: Geneva-Copenhagen catalogue III {\em(includes uvby data from Olsen 1984A\&AS...57..443O)}
#Column	Name	(a11)	Object name (HD, BD, CD or CP) (1)	[ucd=meta.id;meta.main]
#Column	m_Name	(A4)	Components included in photometry (2)	[ucd=meta.code.multip]
#Column	RAJ2000	(A10)	Right ascension (ICRF)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination (ICRF)	[ucd=pos.eq.dec;meta.main]
#Column	logTe	(F6.3)	? Effective temperature	[ucd=phys.temperature.effective]
#Column	[Fe/H]	(F5.2)	? Metallicity	[ucd=phys.abund.Z]
#Column	Dist	(I4)	? Distance [NULL integer written as an empty string]	[ucd=pos.distance;pos.heliocentric]
#Column	VMag	(F5.2)	? Absolute magnitude	[ucd=phys.magAbs;em.opt.V]
#Column	age	(F4.1)	? Age, in Gigayears	[ucd=time.age]
#Column	UVel	(I5)	? Heliocentric space velocity component U (6) [NULL integer written as an empty string]	[ucd=pos.cartesian.x]
#Column	VVel	(I5)	? Heliocentric space velocity component V (6) [NULL integer written as an empty string]	[ucd=pos.cartesian.y]
#Column	WVel	(I5)	? Heliocentric space velocity component W (6) [NULL integer written as an empty string]	[ucd=pos.cartesian.z]
#Column	Vmag	(F6.3)	Visual magnitude	[ucd=phot.mag;em.opt.V]
#Column	b-y	(F6.3)	Stroemgren (b-y) index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	m1	(F6.3)	Stroemgren m_1_ index ((v-b) - (b-y))	[ucd=phot.color]
#Column	c1	(F6.3)	Stroemgren c_1_ index ((u-v) - (v-b))	[ucd=phot.color]
#Column	Simbad	(a6)	ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[ucd=]
Name	m_Name	RAJ2000	DEJ2000	logTe	[Fe/H]	Dist	VMag	age	UVel	VVel	WVel	Vmag	b-y	m1	c1	Simbad
 	 	"h:m:s"	"d:m:s"	[K]	[Sun]	pc	mag	Gyr	km/s	km/s	km/s	mag	mag	mag	mag	
-----------	----	----------	---------	------	-----	----	-----	----	-----	-----	-----	------	------	------	------	------
HD 15      	    	00 05 17.8	+48 28 37	      	     	    	     	    	     	     	     	 8.304	 0.592	 0.486	 0.211	Simbad
HD 16      	    	00 05 12.4	+36 18 13	 3.803	 0.10	 343	 0.42	 0.8	  -32	  -33	  -14	 8.092	 0.311	 0.175	 0.631	Simbad
HD 23      	    	00 05 07.4	-52 09 06	 3.776	-0.17	  42	 4.44	 3.7	   40	  -22	  -16	 7.552	 0.366	 0.175	 0.340	Simbad
HD 24      	    	00 05 09.7	-62 50 42	 3.768	-0.33	  69	 3.96	 8.8	  -31	    7	   14	 8.146	 0.377	 0.168	 0.313	Simbad
HD 25      	    	00 05 22.3	+49 46 11	 3.824	-0.30	  79	 3.09	 2.0	   17	    0	  -22	 7.590	 0.256	 0.138	 0.513	Simbad
HD 26      	    	00 05 22.2	+08 47 16	      	     	    	     	    	     	     	     	 8.238	 0.645	 0.390	 0.095	Simbad
HD 39      	AB  	00 05 29.0	+34 06 20	 3.785	-0.40	  97	 2.92	 4.1	   12	  -14	   24	 7.852	 0.337	 0.133	 0.411	Simbad
HD 59      	    	00 05 33.5	+46 39 46	 3.777	-0.16	  80	 4.08	 5.4	  -43	  -55	   13	 8.595	 0.363	 0.169	 0.364	Simbad
HD 63      	    	00 05 31.1	-09 37 02	 3.806	-0.15	  51	 3.61	 2.3	  -10	  -24	   -9	 7.132	 0.298	 0.151	 0.427	Simbad
HD 67      	    	00 05 28.4	-61 13 33	 3.748	-0.17	  51	 5.28	    	  -10	  -27	    2	 8.822	 0.424	 0.218	 0.316	Simbad
HD 70      	    	00 05 41.6	+58 18 47	 3.758	-0.48	  53	 4.62	12.6	    7	  -32	  -42	 8.221	 0.395	 0.167	 0.287	Simbad
HD 85      	AB  	00 05 44.4	+17 50 25	 3.817	-0.04	 128	 2.22	 1.6	  -24	  -31	   -6	 7.754	 0.275	 0.158	 0.479	Simbad
HD 101     	    	00 05 54.7	+18 14 06	 3.771	-0.30	  37	 4.61	 4.5	   45	  -34	   17	 7.456	 0.373	 0.169	 0.318	Simbad
HD 105     	    	00 05 52.5	-41 45 11	 3.772	-0.23	  39	 4.53	 4.8	  -10	  -21	   -1	 7.509	 0.373	 0.178	 0.316	Simbad
HD 117     	ABC 	00 05 57.0	-30 19 41	 3.801	-0.20	 100	 3.71	 2.9	    7	   -2	  -14	 9.047	 0.385	 0.123	 0.416	Simbad
HD 123     	AB  	00 06 15.8	+58 26 12	 3.753	-0.01	  21	 4.32	10.1	  -21	  -20	   -1	 5.978	 0.421	 0.244	 0.312	Simbad
HD 126     	    	00 06 08.0	+09 42 53	 3.799	-0.19	  87	 3.11	 2.8	   -7	    0	  -14	 7.803	 0.312	 0.153	 0.382	Simbad
HD 142     	AB  	00 06 19.1	-49 04 30	 3.793	-0.03	  26	 3.66	 3.1	  -58	  -37	  -15	 5.710	 0.330	 0.166	 0.421	Simbad
HD 153     	    	00 06 26.0	+42 45 09	 3.768	-0.07	 107	 3.22	 4.8	  -22	  -46	    3	 8.357	 0.388	 0.180	 0.407	Simbad
HD 156     	    	00 06 24.9	-18 02 17	 3.831	 0.23	 142	 1.55	 1.0	   -9	   -1	  -15	 7.311	 0.248	 0.189	 0.686	Simbad
HD 160     	AB  	00 06 16.8	-64 14 25	 3.828	 0.25	 187	 1.29	 1.0	  -20	   -4	  -30	 7.801	 0.291	 0.178	 0.670	Simbad
